model_id,pipeline_name,directory
sentence-transformers/all-MiniLM-L6-v2,sentence-similarity,all-MiniLM-L6-v2
cross-encoder/ms-marco-MiniLM-L6-v2,text-ranking,ms-marco-MiniLM-L6-v2
BAAI/bge-small-en-v1.5,feature-extraction,bge-small-en-v1_5
google-bert/bert-base-uncased,fill-mask,bert-base-uncased
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,sentence-similarity,paraphrase-multilingual-MiniLM-L12-v2
sentence-transformers/all-mpnet-base-v2,sentence-similarity,all-mpnet-base-v2
BAAI/bge-m3,sentence-similarity,bge-m3
openai/clip-vit-base-patch32,zero-shot-image-classification,clip-vit-base-patch32
FacebookAI/xlm-roberta-base,fill-mask,xlm-roberta-base
nomic-ai/nomic-embed-text-v1.5,sentence-similarity,nomic-embed-text-v1.5
timm/mobilenetv3_small_100.lamb_in1k,image-classification,mobilenetv3_small_100.lamb_in1k
BAAI/bge-reranker-v2-m3,text-classification,bge-reranker-v2-m3
laion/clap-htsat-fused,audio-classification,clap-htsat-fused
BAAI/bge-large-en-v1.5,feature-extraction,bge-large-en-v1.5
openai/clip-vit-large-patch14,zero-shot-image-classification,clip-vit-large-patch14
FacebookAI/roberta-base,fill-mask,roberta-base
google-t5/t5-small,translation,t5-small
FacebookAI/roberta-large,fill-mask,roberta-large
intfloat/multilingual-e5-small,sentence-similarity,multilingual-e5-small
answerdotai/ModernBERT-base,fill-mask,ModernBERT-base
distilbert/distilbert-base-uncased,fill-mask,distilbert-base-uncased
BAAI/bge-base-en-v1.5,feature-extraction,bge-base-en-v1_5
pyannote/speaker-diarization-3.1,automatic-speech-recognition,speaker-diarization-3.1
argmaxinc/whisperkit-coreml,automatic-speech-recognition,whisperkit-coreml
intfloat/multilingual-e5-large,feature-extraction,multilingual-e5-large
openai/whisper-large-v3-turbo,automatic-speech-recognition,whisper-large-v3-turbo
ProsusAI/finbert,text-classification,finbert
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,sentence-similarity,paraphrase-multilingual-mpnet-base-v2
FacebookAI/xlm-roberta-large,fill-mask,xlm-roberta-large
pyannote/segmentation-3.0,voice-activity-detection,segmentation-3.0
intfloat/multilingual-e5-base,sentence-similarity,multilingual-e5-base
openai/whisper-base,automatic-speech-recognition,whisper-base
jonatasgrosman/wav2vec2-large-xlsr-53-japanese,automatic-speech-recognition,wav2vec2-large-xlsr-53-japanese
mixedbread-ai/mxbai-embed-large-v1,feature-extraction,mxbai-embed-large-v1
dima806/fairface_age_image_detection,image-classification,fairface_age_image_detection
google/vit-base-patch16-224,image-classification,vit-base-patch16-224
openai/whisper-large-v3,automatic-speech-recognition,whisper-large-v3
sentence-transformers/all-MiniLM-L12-v2,sentence-similarity,all-MiniLM-L12-v2
BAAI/bge-small-zh-v1.5,feature-extraction,bge-small-zh-v1.5
jonatasgrosman/wav2vec2-large-xlsr-53-polish,automatic-speech-recognition,wav2vec2-large-xlsr-53-polish
google-bert/bert-large-uncased,fill-mask,bert-large-uncased
nomic-ai/nomic-embed-text-v1,sentence-similarity,nomic-embed-text-v1
emilyalsentzer/Bio_ClinicalBERT,fill-mask,Bio_ClinicalBERT
pyannote/segmentation,voice-activity-detection,segmentation
indonesian-nlp/wav2vec2-indonesian-javanese-sundanese,automatic-speech-recognition,wav2vec2-indonesian-javanese-sundanese
BAAI/bge-reranker-base,text-classification,bge-reranker-base
google-bert/bert-base-multilingual-uncased,fill-mask,bert-base-multilingual-uncased
facebook/w2v-bert-2.0,feature-extraction,w2v-bert-2.0
jonatasgrosman/wav2vec2-large-xlsr-53-dutch,automatic-speech-recognition,wav2vec2-large-xlsr-53-dutch
cardiffnlp/twitter-roberta-base-sentiment-latest,text-classification,twitter-roberta-base-sentiment-latest
cross-encoder/ms-marco-MiniLM-L4-v2,text-ranking,ms-marco-MiniLM-L4-v2
jonatasgrosman/wav2vec2-large-xlsr-53-greek,automatic-speech-recognition,wav2vec2-large-xlsr-53-greek
sentence-transformers/paraphrase-MiniLM-L6-v2,sentence-similarity,paraphrase-MiniLM-L6-v2
distilbert/distilbert-base-uncased-finetuned-sst-2-english,text-classification,distilbert-base-uncased-finetuned-sst-2-english
intfloat/e5-large-v2,sentence-similarity,e5-large-v2
pyannote/voice-activity-detection,automatic-speech-recognition,voice-activity-detection
laion/CLIP-ViT-B-32-laion2B-s34B-b79K,zero-shot-image-classification,CLIP-ViT-B-32-laion2B-s34B-b79K
google-bert/bert-base-cased,fill-mask,bert-base-cased
jonatasgrosman/wav2vec2-large-xlsr-53-arabic,automatic-speech-recognition,wav2vec2-large-xlsr-53-arabic
google-bert/bert-base-multilingual-cased,fill-mask,bert-base-multilingual-cased
pyannote/speaker-diarization-community-1,automatic-speech-recognition,speaker-diarization-community-1
jonatasgrosman/wav2vec2-large-xlsr-53-hungarian,automatic-speech-recognition,wav2vec2-large-xlsr-53-hungarian
jonatasgrosman/wav2vec2-large-xlsr-53-russian,automatic-speech-recognition,wav2vec2-large-xlsr-53-russian
jonatasgrosman/wav2vec2-large-xlsr-53-portuguese,automatic-speech-recognition,wav2vec2-large-xlsr-53-portuguese
facebook/bart-large-mnli,zero-shot-classification,bart-large-mnli
MahmoudAshraf/mms-300m-1130-forced-aligner,automatic-speech-recognition,mms-300m-1130-forced-aligner
facebook/esm2_t33_650M_UR50D,fill-mask,esm2_t33_650M_UR50D
jinaai/jina-embeddings-v3,feature-extraction,jina-embeddings-v3
apple/mobilevit-small,image-classification,mobilevit-small
yuvalkirstain/PickScore_v1,zero-shot-image-classification,PickScore_v1
patrickjohncyh/fashion-clip,zero-shot-image-classification,fashion-clip
timm/resnet50.a1_in1k,image-classification,resnet50.a1_in1k
Xenova/all-MiniLM-L6-v2,feature-extraction,all-MiniLM-L6-v2
facebook/dinov2-small,image-feature-extraction,dinov2-small
w11wo/indonesian-roberta-base-posp-tagger,token-classification,indonesian-roberta-base-posp-tagger
google-t5/t5-base,translation,t5-base
anuragshas/wav2vec2-large-xlsr-53-telugu,automatic-speech-recognition,wav2vec2-large-xlsr-53-telugu
gigant/romanian-wav2vec2,automatic-speech-recognition,romanian-wav2vec2
microsoft/deberta-v3-base,fill-mask,deberta-v3-base
sentence-transformers/multi-qa-mpnet-base-dot-v1,sentence-similarity,multi-qa-mpnet-base-dot-v1
openai/whisper-small,automatic-speech-recognition,whisper-small
cross-encoder/ms-marco-MiniLM-L12-v2,text-ranking,ms-marco-MiniLM-L12-v2
openai/clip-vit-large-patch14-336,zero-shot-image-classification,clip-vit-large-patch14-336
sentence-transformers/all-distilroberta-v1,sentence-similarity,all-distilroberta-v1
KBLab/wav2vec2-large-voxrex-swedish,automatic-speech-recognition,wav2vec2-large-voxrex-swedish
jonatasgrosman/wav2vec2-large-xlsr-53-persian,automatic-speech-recognition,wav2vec2-large-xlsr-53-persian
Khalsuu/filipino-wav2vec2-l-xls-r-300m-official,automatic-speech-recognition,filipino-wav2vec2-l-xls-r-300m-official
intfloat/e5-base-v2,sentence-similarity,e5-base-v2
kingabzpro/wav2vec2-large-xls-r-300m-Urdu,automatic-speech-recognition,wav2vec2-large-xls-r-300m-Urdu
ibm-granite/granite-embedding-small-english-r2,feature-extraction,granite-embedding-small-english-r2
Harveenchadha/vakyansh-wav2vec2-tamil-tam-250,automatic-speech-recognition,vakyansh-wav2vec2-tamil-tam-250
WhereIsAI/UAE-Large-V1,feature-extraction,UAE-Large-V1
theainerd/Wav2Vec2-large-xlsr-hindi,automatic-speech-recognition,Wav2Vec2-large-xlsr-hindi
IDEA-Research/grounding-dino-base,zero-shot-object-detection,grounding-dino-base
Salesforce/blip-image-captioning-base,image-to-text,blip-image-captioning-base
Alibaba-NLP/gte-reranker-modernbert-base,text-ranking,gte-reranker-modernbert-base
microsoft/mdeberta-v3-base,fill-mask,mdeberta-v3-base
openai/whisper-tiny,automatic-speech-recognition,whisper-tiny
BAAI/bge-reranker-large,feature-extraction,bge-reranker-large
airesearch/wav2vec2-large-xlsr-53-th,automatic-speech-recognition,wav2vec2-large-xlsr-53-th
Xenova/bge-base-en-v1.5,feature-extraction,Xenova__bge-base-en-v1_5
distilbert/distilroberta-base,fill-mask,distilroberta-base
dslim/bert-base-NER,token-classification,bert-base-NER
comodoro/wav2vec2-xls-r-300m-cs-250,automatic-speech-recognition,wav2vec2-xls-r-300m-cs-250
jonatasgrosman/wav2vec2-large-xlsr-53-finnish,automatic-speech-recognition,wav2vec2-large-xlsr-53-finnish
timm/resnet18.a1_in1k,image-classification,resnet18.a1_in1k
google/vit-base-patch16-224-in21k,image-feature-extraction,vit-base-patch16-224-in21k
CIDAS/clipseg-rd64-refined,image-segmentation,clipseg-rd64-refined
imvladikon/wav2vec2-xls-r-300m-hebrew,automatic-speech-recognition,wav2vec2-xls-r-300m-hebrew
sentence-transformers/paraphrase-mpnet-base-v2,sentence-similarity,paraphrase-mpnet-base-v2
microsoft/table-transformer-detection,object-detection,table-transformer-detection
jinaai/jina-reranker-v2-base-multilingual,text-ranking,jina-reranker-v2-base-multilingual
mesolitica/wav2vec2-xls-r-300m-mixed,automatic-speech-recognition,wav2vec2-xls-r-300m-mixed
facebook/sam3,mask-generation,sam3
cambridgeltl/SapBERT-from-PubMedBERT-fulltext,feature-extraction,SapBERT-from-PubMedBERT-fulltext
nguyenvulebinh/wav2vec2-base-vi-vlsp2020,automatic-speech-recognition,wav2vec2-base-vi-vlsp2020
depth-anything/Depth-Anything-V2-Small-hf,depth-estimation,Depth-Anything-V2-Small-hf
shibing624/text2vec-base-chinese,sentence-similarity,text2vec-base-chinese
timm/vit_small_patch14_reg4_dinov2.lvd142m,image-feature-extraction,vit_small_patch14_reg4_dinov2.lvd142m
facebook/bart-large-cnn,summarization,bart-large-cnn
NbAiLab/nb-wav2vec2-1b-bokmaal-v2,automatic-speech-recognition,nb-wav2vec2-1b-bokmaal-v2
microsoft/table-transformer-structure-recognition,object-detection,table-transformer-structure-recognition
google/siglip-so400m-patch14-384,zero-shot-image-classification,siglip-so400m-patch14-384
neuralmind/bert-large-portuguese-cased,fill-mask,bert-large-portuguese-cased
jonatasgrosman/wav2vec2-large-xlsr-53-chinese-zh-cn,automatic-speech-recognition,wav2vec2-large-xlsr-53-chinese-zh-cn
openai/clip-vit-base-patch16,zero-shot-image-classification,clip-vit-base-patch16
rizvandwiki/gender-classification,image-classification,gender-classification
amunchet/rorshark-vit-base,image-classification,rorshark-vit-base
Systran/faster-whisper-base,automatic-speech-recognition,faster-whisper-base
facebook/nllb-200-distilled-600M,translation,nllb-200-distilled-600M
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,sentence-similarity,multi-qa-MiniLM-L6-cos-v1
google/siglip-base-patch16-224,zero-shot-image-classification,siglip-base-patch16-224
